wav,seg_idx,start,end,duration
./chunk_4Tanya/chunk_4.wav,71,19.44,19.467,0.02699999999999747
./chunk_4Tanya/chunk_4.wav,72,19.467,19.656,0.18900000000000006
./chunk_4Tanya/chunk_4.wav,73,19.656,19.818,0.1620000000000026
./chunk_4Tanya/chunk_4.wav,74,19.818,19.899,0.08099999999999952
./chunk_4Tanya/chunk_4.wav,75,19.899,20.628,0.7289999999999992
./chunk_4Tanya/chunk_4.wav,76,20.628,20.682,0.053999999999998494
./chunk_4Tanya/chunk_4.wav,77,20.682,20.762999999999998,0.08099999999999952
./chunk_4Tanya/chunk_4.wav,78,20.762999999999998,21.141,0.3780000000000001
./chunk_4Tanya/chunk_4.wav,79,21.141,21.168,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,80,21.168,21.276,0.10800000000000054
./chunk_4Tanya/chunk_4.wav,81,21.276,21.303,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,82,21.303,21.33,0.02699999999999747
./chunk_4Tanya/chunk_4.wav,83,21.33,23.571,2.241000000000003
./chunk_4Tanya/chunk_4.wav,84,23.571,23.895,0.32399999999999807
./chunk_4Tanya/chunk_4.wav,85,23.895,23.922,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,86,23.922,24.246,0.32399999999999807
./chunk_4Tanya/chunk_4.wav,87,24.246,24.273,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,88,24.273,24.489,0.21600000000000108
./chunk_4Tanya/chunk_4.wav,89,24.489,24.678,0.18900000000000006
./chunk_4Tanya/chunk_4.wav,90,24.678,24.894,0.21599999999999753
./chunk_4Tanya/chunk_4.wav,91,24.894,26.217,1.3230000000000004
./chunk_4Tanya/chunk_4.wav,92,26.217,26.244,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,93,26.244,26.271,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,94,26.271,26.46,0.18900000000000006
./chunk_4Tanya/chunk_4.wav,95,26.46,26.676,0.21599999999999753
./chunk_4Tanya/chunk_4.wav,96,26.676,26.703,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,97,26.703,26.73,0.027000000000001023
./chunk_4Tanya/chunk_4.wav,98,26.73,26.892,0.16199999999999903
./chunk_4Tanya/chunk_4.wav,99,26.892,26.945999999999998,0.053999999999998494
./chunk_4Tanya/chunk_4.wav,100,26.945999999999998,29.97,3.024000000000001
./chunk_7_deepak/chunk_7.wav,1,1.188,1.215,0.027000000000000135
./chunk_7_deepak/chunk_7.wav,2,1.215,1.377,0.16199999999999992
./chunk_7_deepak/chunk_7.wav,3,1.377,1.404,0.026999999999999913
./chunk_7_deepak/chunk_7.wav,4,1.404,1.431,0.027000000000000135
./chunk_7_deepak/chunk_7.wav,5,1.431,1.4849999999999999,0.053999999999999826
./chunk_7_deepak/chunk_7.wav,6,1.4849999999999999,2.052,0.5670000000000002
./chunk_7_deepak/chunk_7.wav,7,2.052,2.106,0.053999999999999826
./chunk_7_deepak/chunk_7.wav,8,2.106,2.133,0.027000000000000135
./chunk_7_deepak/chunk_7.wav,9,2.133,2.322,0.18900000000000006
./chunk_7_deepak/chunk_7.wav,10,2.322,2.376,0.053999999999999826
./chunk_7_deepak/chunk_7.wav,11,2.376,2.592,0.2160000000000002
./chunk_7_deepak/chunk_7.wav,12,2.592,2.6189999999999998,0.02699999999999969
./chunk_7_deepak/chunk_7.wav,13,2.6189999999999998,2.646,0.027000000000000135
./chunk_7_deepak/chunk_7.wav,14,2.646,2.889,0.24299999999999988
./chunk_7_deepak/chunk_7.wav,15,2.889,2.997,0.1080000000000001
./chunk_7_deepak/chunk_7.wav,16,2.997,3.078,0.08099999999999996
./chunk_7_deepak/chunk_7.wav,17,3.078,3.2399999999999998,0.16199999999999992
./chunk_7_deepak/chunk_7.wav,18,3.2399999999999998,4.266,1.0260000000000002
./chunk_7_deepak/chunk_7.wav,19,4.266,4.482,0.2160000000000002
./chunk_7_deepak/chunk_7.wav,20,4.482,4.6979999999999995,0.2159999999999993
./chunk_7_deepak/chunk_7.wav,21,4.6979999999999995,4.914,0.2160000000000002
./chunk_7_deepak/chunk_7.wav,22,4.914,5.157,0.24300000000000033
./chunk_7_deepak/chunk_7.wav,23,5.157,5.346,0.18900000000000006
./chunk_7_deepak/chunk_7.wav,24,5.346,5.508,0.16199999999999992
./chunk_7_deepak/chunk_7.wav,25,5.508,5.562,0.05400000000000027
./chunk_7_deepak/chunk_7.wav,26,5.562,7.911,2.3489999999999993
./chunk_7_deepak/chunk_7.wav,27,7.911,7.938,0.027000000000000135
./chunk_7_deepak/chunk_7.wav,28,7.938,8.1,0.16199999999999992
./chunk_7_deepak/chunk_7.wav,29,8.1,8.235,0.1349999999999998
./chunk_7_deepak/chunk_7.wav,30,8.235,8.262,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,31,8.262,8.37,0.10799999999999876
./chunk_7_deepak/chunk_7.wav,32,8.37,8.505,0.13500000000000156
./chunk_7_deepak/chunk_7.wav,33,8.505,8.532,0.026999999999999247
./chunk_7_deepak/chunk_7.wav,34,8.532,8.613,0.08099999999999952
./chunk_7_deepak/chunk_7.wav,35,8.613,8.721,0.10800000000000054
./chunk_7_deepak/chunk_7.wav,36,8.721,8.802,0.08099999999999952
./chunk_7_deepak/chunk_7.wav,37,8.802,9.882,1.08
./chunk_7_deepak/chunk_7.wav,38,9.882,10.206,0.32399999999999984
./chunk_7_deepak/chunk_7.wav,39,10.206,10.233,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,40,10.233,10.368,0.1349999999999998
./chunk_7_deepak/chunk_7.wav,41,10.368,10.53,0.16199999999999903
./chunk_7_deepak/chunk_7.wav,42,10.53,10.773,0.24300000000000033
./chunk_7_deepak/chunk_7.wav,43,10.773,10.8,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,44,10.8,13.5,2.6999999999999993
./chunk_7_deepak/chunk_7.wav,45,13.5,13.932,0.4320000000000004
./chunk_7_deepak/chunk_7.wav,46,13.932,14.148,0.2159999999999993
./chunk_7_deepak/chunk_7.wav,47,14.148,14.175,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,48,14.175,14.363999999999999,0.18899999999999828
./chunk_7_deepak/chunk_7.wav,49,14.363999999999999,14.445,0.0810000000000013
